DP_NODE_ID,ORIGINATING_LINK_ID,DEST_LINK_ID,RAMP,BIF,CA,FILENAME,SIDE,SIGN_DEST,JV_ORIGIN,ISO_COUNTRY_CODE,GMS_SVG,GMS_TEMPLATE,LATITUDE,LONGITUDE,MDPS,MDPS_APPROX,TUNNEL_ORIGIN_LINK,TUNNEL_DEST_LINK,ORIGIN_BEARING,DEST_BEARING,DP2_NODE_ID
812311743,807578113,727114469,N,N,N,L32LL22.SVG,R,-1,807578113,THA,GMS_TH.SVG,,13.99848,100.57242,Y,N,N/A,N/A,310.44689,311.25205,812439304
812311743,807578113,799571374,Y,N,N,L32LL22.SVG,M,799571374,-1,THA,GMS_TH.SVG,SON_A,13.99884,100.57098,Y,N,N/A,N/A,310.44689,297.26224,812439304
812311743,807578113,799571377,Y,N,N,L32LL22.SVG,L,799571377,-1,THA,GMS_TH.SVG,SON_A,13.99884,100.57098,Y,N,N/A,N/A,310.44689,297.26224,812439304
817779895,807583473,799710687,N,N,N,B41LB22.SVG,R,-1,807583473,THA,GMS_TH.SVG,,13.64136,100.40828,Y,Y,N/A,N/A,29.75409,50.02123,806921427
817779895,807583473,807583476,Y,N,N,B41LB22.SVG,M,807583476,807583475,THA,GMS_TH.SVG,SON_A,13.64216,100.40816,Y,Y,N/A,N/A,29.75409,357.68129,806921427
817779895,807583473,807583478,Y,N,N,B41LB22.SVG,L,807583478,807583475,THA,GMS_TH.SVG,SON_A,13.64216,100.40816,Y,Y,N/A,N/A,29.75409,357.68129,806921427
806921427,807583475,807583476,Y,N,N,L33.SVG,R,807583476,807583475,THA,GMS_TH.SVG,SON_A,13.64216,100.40816,N,N/A,N,N,349.193,6.59914,
806921427,807583475,807583478,Y,N,N,L33.SVG,L,807583478,807583475,THA,GMS_TH.SVG,SON_A,13.64216,100.40816,N,N/A,N,N,349.193,347.81396,
806964985,807583481,799710698,Y,Y,N,B42.SVG,L,799710698,807583481,THA,GMS_TH.SVG,EXIT_A_L,13.64505,100.40929,N,N/A,N,N,149.86305,111.10115,
806964985,807583481,799710713,Y,Y,N,B42.SVG,R,799710713,807583481,THA,GMS_TH.SVG,EXIT_A_R,13.64505,100.40929,N,N/A,N,N,149.86305,172.09641,
812392343,808967467,827010215,N,N,N,L32.SVG,R,-1,808967467,THA,GMS_TH.SVG,,13.93217,100.45448,N,N/A,N,N,196.33089,193.63911,
812392343,808967467,851203501,Y,N,N,L32.SVG,L,851203501,808967467,THA,GMS_TH.SVG,SON_A,13.93217,100.45448,N,N/A,N,N,196.33089,168.25101,
818053022,809017913,850741928,Y,N,N,L22.SVG,L,-1,809017913,THA,GMS_TH.SVG,,13.92666,100.45299,N,N/A,N,N,9.58125,354.95747,
818053022,809017913,851377971,Y,N,N,L22.SVG,R,-1,809017913,THA,GMS_TH.SVG,,13.92666,100.45299,N,N/A,N,N,9.58125,13.78341,
812210166,809017916,726227277,Y,N,N,L32.SVG,L,726227277,809017916,THA,GMS_TH.SVG,SON_A,13.92376,100.45255,N,N/A,N,N,13.63944,357.22157,
812210166,809017916,734590433,N,N,N,L32.SVG,R,-1,809017916,THA,GMS_TH.SVG,,13.92376,100.45255,N,N/A,N,N,13.63944,14.51143,
806927324,809018073,799572739,Y,N,Y,L32.SVG,L,799572739,-1,THA,GMS_TH.SVG,EXIT_A_L,13.76678,100.54958,N,N/A,N,N,208.51321,200.34732,
806927324,809018073,799686482,N,N,Y,L32.SVG,R,799686482,-1,THA,GMS_TH.SVG,SON_A,13.76678,100.54958,N,N/A,N,N,208.51321,209.97179,
806930171,809071945,718590670,Y,Y,N,B22.SVG,R,718590670,809071945,THA,GMS_TH.SVG,EXIT_B_R,13.67788,100.47799,N,N/A,N,N,327.57207,339.30043,
806930171,809071945,821662806,Y,Y,N,B22.SVG,L,821662806,809071945,THA,GMS_TH.SVG,EXIT_B_L,13.67788,100.47799,N,N/A,N,N,327.57207,315.8241,
