#u_code;category_pri
19;1
15;1
14;1
13;1
17;1
1;1
10;1
2;1
18;1
7;1
3;1
5;1
8;1
12;1
11;1
16;1
9;1
21;2
6;3
4;4
35;5
25;6
33;7
51;7
50;7
47;7
38;8
34;8
39;9
29;9
30;9
31;9
49;9
41;10
95;10
94;10
92;10
93;10
75;11
76;11
77;11
78;11
79;11
80;11
81;11
82;11
83;11
84;11
85;11
86;11
87;11
88;11
89;11
90;11
91;11
105;11
20;11
22;11
23;11
24;11
27;11
28;11
32;11
36;11
37;11
42;11
43;11
44;11
45;11
46;11
48;11
52;11
53;11
54;11
55;11
56;11
57;11
58;11
59;11
60;11
61;11
62;11
63;11
64;11
65;11
66;11
67;11
68;11
69;11
70;11
71;11
72;11
74;11
102;11
103;11
104;11
96;11
97;11
98;11
99;11
100;11
101;11
26;12
40;13
73;14
