#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three;lang;file_name
1;N;1;0;0;0;Restaurant;null;0;0;0;0;0;0;ENG;
2;N;1;1;0;1;All Restaurants;0;0;0;0;0;0;0;ENG;
3;N;1;2;0;1;American Food;null;5800;0;0;1;0;0;ENG;
4;N;1;3;0;1;Chinese Food;null;5800;0;0;3;0;0;ENG;
5;N;1;4;0;1;French Food;null;5800;0;0;5;0;0;ENG;
6;N;1;5;0;1;Indian Food;null;5800;0;0;8;0;0;ENG;
7;N;1;6;0;1;Italian Food;null;5800;0;0;9;0;0;ENG;
8;N;1;7;0;1;Japanese Food;null;5800;0;0;10;0;0;ENG;
9;N;1;8;0;1;Seafood;null;5800;0;0;13;0;0;ENG;
10;N;1;9;0;1;Grill;null;5800;0;0;28;0;0;ENG;
11;N;1;10;0;1;Middle Eastern Food;null;5800;0;0;36;0;0;ENG;
12;N;1;11;0;1;Sandwich;null;5800;0;0;41;0;0;ENG;
13;N;1;12;0;1;Turkish Food;null;5800;0;0;50;0;0;ENG;
14;N;1;13;0;1;African Food;null;5800;0;0;51;0;0;ENG;
15;N;1;14;0;1;International Food;null;5800;0;0;53;0;0;ENG;
16;N;1;15;0;1;Pizza;null;0;0;0;0;0;0;ENG;
17;N;1;15;1;2;All Pizza;0;0;0;0;0;0;0;ENG;
18;Y;1;15;2;2;Domino's Pizza;null;5800;0;1522;58;0;0;ENG;
19;Y;1;15;3;2;Little Caesars;null;5800;0;1561;58;0;0;ENG;
20;Y;1;15;4;2;Papa John's;null;5800;0;1578;58;0;0;ENG;
21;Y;1;15;5;2;Pizza Hut;null;5800;0;1582;58;0;0;ENG;
22;Y;1;15;6;2;Pizza Inn;null;5800;0;1858;58;0;0;ENG;
23;Y;1;15;7;2;Supermac's;null;5800;0;10048;58;0;0;ENG;
24;Y;1;15;8;2;Yum!;null;5800;0;10082;58;0;0;ENG;
25;N;1;15;9;2;Other Pizza;null;5800;0;0;58;0;0;ENG;
26;N;1;16;0;1;Snacks & Beverages;null;5800;0;0;73;0;0;ENG;
27;N;1;17;0;1;Chicken;null;0;0;0;0;0;0;ENG;
28;N;1;17;1;2;All Chicken;0;0;0;0;0;0;0;ENG;
29;Y;1;17;2;2;KFC;null;5800;0;1559;75;0;0;ENG;
30;Y;1;17;3;2;Popeyes;null;5800;0;1584;75;0;0;ENG;
31;Y;1;17;4;2;Al Baik;null;5800;0;1884;75;0;0;ENG;
32;Y;1;17;5;2;Al Tazaj;null;5800;0;1885;75;0;0;ENG;
33;Y;1;17;6;2;Yum!;null;5800;0;10082;75;0;0;ENG;
34;N;1;17;7;2;Other Chicken;null;5800;0;0;75;0;0;ENG;
35;N;1;18;0;1;Ice Cream;null;5800;0;0;76;0;0;ENG;
36;N;1;19;0;1;Burgers;null;0;0;0;0;0;0;ENG;
37;N;1;19;1;2;All Burgers;0;0;0;0;0;0;0;ENG;
38;Y;1;19;2;2;BURGER KING;null;5800;0;1498;85;0;0;ENG;
39;Y;1;19;3;2;Hardee's;null;5800;0;1546;85;0;0;ENG;
40;Y;1;19;4;2;McDonald's;null;5800;0;1566;85;0;0;ENG;
41;Y;1;19;5;2;Herfy;null;5800;0;1921;85;0;0;ENG;
42;Y;1;19;6;2;Cke Restaurants;null;5800;0;10058;85;0;0;ENG;
43;N;1;19;7;2;Other Burgers;null;5800;0;0;85;0;0;ENG;
44;N;1;20;0;1;Pastries;null;5800;0;0;87;0;0;ENG;
45;N;1;21;0;1;Coffee Shop;null;0;0;0;0;0;0;ENG;
46;N;1;21;1;2;All Coffee Shop;0;0;0;0;0;0;0;ENG;
