#ucode;category_pri
151191586;11
151191587;11
151191588;11
151191589;11
151191590;11
151191591;11
151191592;11
151191593;11
151191594;11
151191595;11
151191596;11
151191597;11
151191598;11
151191599;11
151191600;11
151191601;11
151191602;11
151191603;11
151191604;11
151191605;11
151191606;11
151191607;11
151191608;11
151191609;11
151191610;11
151191611;11
151191612;11
151191613;11
151191614;11
151191615;11
151191616;11
151191617;11
151191618;11
151191619;11
151191620;11
151191621;11
151191622;11
151191623;11
151191624;11
151191625;11
151191626;11
151191627;11
151191628;11
151191629;11
151191630;11
151191631;11
151191632;11
151191633;11
151191634;11
151191635;11
167772160;11
167837696;11
167903232;11
167968768;11
167968769;11
167968770;11
167968771;11
167968772;11
167968773;11
167968774;11
168034304;11
168034305;11
168034306;11
168034307;11
168034308;11
168034309;11
168034310;11
168034311;11
168034312;11
168034313;11
168034314;11
168034315;11
168034316;11
168034317;11
168034318;11
168099840;11
168165376;11
168230912;11
184549376;11
184614912;11
184680448;11
184745984;11
184745985;11
184745986;11
184745987;11
184745988;11
184745989;11
184745990;11
184745991;11
184745992;11
184745993;11
184745994;11
184745995;11
184745996;11
184745997;11
184745998;11
184811520;11
184811521;11
184811522;11
184811523;11
184811524;11
184811525;11
184811526;11
184811527;11
184811528;11
184877056;11
184942592;11
201326592;11
201392128;11
201392129;11
201392130;11
201392131;11
201392132;11
201457664;11
201457665;11
201457666;11
201457667;11
201457668;11
201457669;11
201523200;11
201588736;11
201654272;11
201719808;11
201785344;11
201850880;11
201850881;11
201850882;11
201850883;11
201850884;11
201850885;11
201916416;11
201916417;11
201916418;11
201916419;11
201916420;11
201916421;11
201916422;11
151191552;12
84213760;13
