#genre_0;genre_1;genre_2;genre_level;genre_is_brand;importance;org_code;chain_code;u_code
3;1;0;1;N;0;300100;;1
3;1;1;2;N;0;300200;;2
3;1;2;2;N;0;300300;;3
3;1;3;2;N;0;300500;;4
3;1;4;2;N;0;300600;;5
3;1;5;2;N;0;300700;;6
3;2;0;1;N;0;301000;;7
3;2;1;2;N;0;301100;;8
3;2;2;2;N;0;301200;;9
3;2;3;2;N;0;301300;;10
3;2;4;2;N;0;301400;;11
3;2;5;2;N;0;301500;;12
3;3;0;1;N;0;302000;;13
3;3;1;2;N;0;302100;;14
3;3;2;2;N;0;302400;;15
3;3;3;2;N;0;302500;;16
3;3;4;2;N;0;302600;;17
3;3;5;2;N;0;302700;;18
3;4;0;1;N;0;304000;;19
3;4;1;2;N;0;304400;;20
3;4;2;2;N;0;304500;;21
3;5;0;1;N;0;305000;;22
3;5;1;2;N;0;305100;;23
3;5;2;2;N;0;305200;;24
3;6;0;1;N;0;306100;;25
3;6;1;2;N;0;306200;;26
3;6;2;2;N;0;306300;;27
3;6;3;2;N;0;306400;;28
3;6;4;2;N;0;306500;;29
3;6;5;2;N;0;306600;;30
3;6;6;2;N;0;306700;;31
3;6;7;2;N;0;306800;;32
3;6;8;2;N;0;306900;;33
3;7;0;1;N;0;307000;;34
3;7;1;2;N;0;307100;;35
3;7;2;2;N;0;307200;;36
3;7;3;2;N;0;307300;;37
3;7;4;2;N;0;307400;;38
3;7;5;2;N;0;307500;;39
3;7;6;2;N;0;307600;;40
3;7;7;2;N;0;307700;;41
3;7;8;2;N;0;307900;;42
3;8;0;1;N;0;308000;;43
3;8;1;2;N;0;308100;;44
3;8;2;2;N;0;308200;;45
3;8;3;2;N;0;308300;;46
3;8;4;2;N;0;308400;;47
3;8;5;2;N;0;308700;;48
3;9;0;1;N;0;309200;;49
3;9;1;2;N;0;309500;;50
3;9;2;2;N;0;309600;;51
3;10;0;1;N;0;310100;;52
3;10;1;2;N;0;310200;;53
3;10;2;2;N;0;310300;;54
3;10;3;2;N;0;310800;;55
3;11;0;1;N;0;312000;;56
3;11;1;2;N;0;312100;;57
3;11;2;2;N;0;312200;;58
3;11;3;2;N;0;312300;;59
3;11;4;2;N;0;312400;;60
3;11;5;2;N;0;312500;;61
3;11;6;2;N;0;312600;;62
3;11;7;2;N;0;312700;;63
3;11;8;2;N;0;312800;;64
3;11;9;2;N;0;312900;;65
3;12;0;1;N;0;313900;;66
3;13;0;1;N;0;314000;;67
3;13;1;2;N;0;314100;;68
3;13;2;2;N;0;314200;;69
3;13;3;2;N;0;314400;;70
3;13;4;2;N;0;314800;;71
3;14;0;1;N;0;315100;;72
3;14;1;2;N;0;315200;;73
3;14;2;2;N;0;315900;;74
3;15;0;1;N;0;316000;;75
3;15;1;2;N;0;316300;;76
3;15;2;2;N;0;316600;;77
3;15;3;2;N;0;316800;;78
3;16;0;1;N;0;318000;;79
3;17;0;1;N;0;320000;;80
3;17;1;2;N;0;320100;;81
3;17;2;2;N;0;320200;;82
3;17;3;2;N;0;320300;;83
3;17;4;2;N;0;320800;;84
3;17;5;2;N;0;320900;;85
3;18;0;1;N;0;321000;;86
3;18;1;2;N;0;321100;;87
3;18;2;2;N;0;321200;;88
3;18;3;2;N;0;321300;;89
3;18;4;2;N;0;321500;;90
3;19;0;1;N;0;322000;;91
3;19;1;2;N;0;322100;;92
3;19;2;2;N;0;322400;;93
3;19;3;2;N;0;322500;;94
3;20;0;1;N;0;323000;;95
3;20;1;2;N;0;323100;;96
3;20;2;2;N;0;323300;;97
3;21;0;1;N;0;324000;;98
3;22;0;1;N;0;326200;;99
3;23;0;1;N;0;328200;;100
3;24;0;1;N;0;317000;;101
3;24;1;2;N;0;317100;;102
3;24;2;2;N;0;317200;;103
3;24;3;2;N;0;317300;;104
3;24;4;2;N;0;317400;;105
