#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
6;14;0;1;N;;null;200300;;;1444
1;5;32;2;Y;;null;110101;;2FC9;429
2;24;9;2;Y;;null;130603;;2239;952
1;5;222;2;Y;;null;110101;;346E;452
9;4;55;2;Y;;null;150101;;6006;1612
1;3;8;2;Y;;null;110103;;3358;124
4;3;124;2;Y;;null;120102;;4059;1309
3;9;3;2;Y;;null;230211;;2F01;987
5;15;7;2;Y;;null;180203;;224B;1422
1;4;0;1;N;;null;110102;;;139
1;2;41;2;Y;;null;110200;;3051;79
3;8;3;2;Y;;null;230215;;2003;978
1;2;36;2;Y;;null;110200;;3101;35
9;4;40;2;Y;;null;150101;;6032;1533
6;6;1;2;Y;;null;170109;;7010;1434
1;5;119;2;Y;;null;110101;;335D;350
5;15;11;2;Y;;null;180203;;3546;1413
2;22;0;1;N;;null;;;;938
1;5;45;2;Y;;null;110101;;346D;413
4;2;43;2;Y;;null;120101;;10DE;1185
4;2;78;2;Y;;null;120101;;1030;1220
9;7;6;2;Y;;null;210214;;4081;1624
4;2;74;2;Y;;null;120101;;4114;1140
2;6;35;2;Y;;null;130301;;34A1;750
2;6;0;1;N;;null;130301;;;698
2;9;10;2;Y;;null;130201;;2FF2;792
3;7;5;2;Y;;null;200201;;8005;971
9;4;23;2;Y;;null;150101;;6070;1531
9;9;0;1;N;;null;120201;;;1630
9;0;0;0;N;;null;;;;1476
1;5;134;2;Y;;null;110101;;2FCF;317
4;3;69;2;Y;;null;120102;;105C;1245
4;3;30;2;Y;;null;120102;;406B;1304
1;5;168;2;Y;;null;110101;;3103;256
4;3;17;2;Y;;null;120102;;1099;1306
4;2;69;2;Y;;null;120101;;10D4;1149
4;3;113;2;Y;;null;120102;;1061;1321
1;5;163;2;Y;;null;110101;;3419;304
4;2;57;2;Y;;null;120101;;410A;1159
2;4;79;2;Y;;null;130106;;2F4F;645
1;4;74;2;Y;;null;110102;;3070;141
2;7;1;2;Y;;null;130401;;2400;768
1;2;40;2;Y;;null;110200;;335B;80
4;2;6;2;Y;;null;120101;;10A9;1103
2;3;56;2;Y;;null;130102;;220E;560
2;3;12;2;Y;;null;130102;;2F31;578
2;2;23;2;Y;;null;130105;;2F12;514
1;5;206;2;Y;;null;110101;;3354;332
1;5;88;2;Y;;null;110101;;2F96;415
1;5;96;2;Y;;null;110101;;309C;373
4;3;8;2;Y;;null;120102;;4118;1314
1;5;105;2;Y;;null;110101;;309D;243
9;4;69;2;Y;;null;150101;;6065;1608
4;2;81;2;Y;;null;120101;;4105;1163
2;20;6;2;Y;;null;130700;;2F77;920
1;8;0;1;N;;null;110302;;;469
2;21;5;2;Y;;null;130303;;2201;926
1;4;60;2;Y;;null;110102;;342B;214
4;3;5;2;Y;;null;120102;;105A;1310
4;3;20;2;Y;;null;120102;;4087;1228
9;4;29;2;Y;;null;150101;;6024;1532
1;5;102;2;Y;;null;110101;;3031;367
2;5;9;2;Y;;null;130601;;2FBB;695
4;3;87;2;Y;;null;120102;;1063;1327
2;4;66;2;Y;;null;130106;;2218;668
1;2;110;2;Y;;null;110200;;4127;36
4;2;213;2;Y;;null;120101;;1051;1006
1;2;13;2;Y;;null;110200;;3604;106
1;5;171;2;Y;;null;110101;;311D;297
4;3;1;2;Y;;null;120102;;1088;1237
6;6;0;1;N;;null;170109;;;1431
1;5;231;2;Y;;null;110101;;2487;235
1;3;17;2;Y;;null;110103;;330D;127
1;4;25;2;Y;;null;110102;;3478;182
2;15;14;2;Y;;null;130405;;34B5;896
1;2;34;2;Y;;null;110200;;3034;85
4;2;53;2;Y;;null;120101;;1012;1120
9;4;117;2;Y;;null;150101;;604C;1503
2;15;38;2;Y;;null;130405;;355F;883
1;2;50;2;Y;;null;110200;;3123;73
4;3;91;2;Y;;null;120102;;34FB;1266
6;3;4;2;N;;null;190204;;;1652
2;4;37;2;Y;;null;130106;;350C;611
1;5;150;2;Y;;null;110101;;2FD8;273
9;4;60;2;Y;;null;150101;;6030;1543
1;4;22;2;Y;;null;110102;;3301;150
1;5;46;2;Y;;null;110101;;2FDA;380
1;2;69;2;Y;;null;110200;;3340;56
4;2;123;2;Y;;null;120101;;10CE;1061
4;2;167;2;Y;;null;120101;;4064;1020
2;6;19;2;Y;;null;130301;;3492;748
1;5;184;2;Y;;null;110101;;3072;343
2;4;63;2;Y;;null;130106;;222E;629
6;5;0;1;N;;null;170101;;;1430
1;2;45;2;Y;;null;110200;;3062;76
4;2;119;2;Y;;null;120101;;100D;1000
2;3;43;2;Y;;null;130102;;2F1A;581
2;3;24;2;Y;;null;130102;;2F28;555
1;3;7;2;Y;;null;110103;;303B;123
4;2;206;2;Y;;null;120101;;1036;1187
1;5;236;2;Y;;null;110101;;412B;431
3;7;0;1;N;;null;200201;;;965
4;2;157;2;Y;;null;120101;;3324;1169
1;5;164;2;Y;;null;110101;;3075;238
9;4;27;2;Y;;null;150101;;603F;1561
1;2;58;2;Y;;null;110200;;3331;67
2;4;55;2;Y;;null;130106;;3505;682
2;4;74;2;Y;;null;130106;;350E;630
1;5;9;2;Y;;null;110101;;3400;313
1;2;63;2;Y;;null;110200;;2223;61
4;2;160;2;Y;;null;120101;;10BA;1046
4;2;168;2;Y;;null;120101;;405E;1117
4;2;174;2;Y;;null;120101;;10E2;1083
4;2;200;2;Y;;null;120101;;1088;1074
2;6;43;2;Y;;null;130301;;2263;700
4;3;118;2;Y;;null;120102;;405F;1329
9;7;0;1;N;;null;210214;;;1622
4;3;36;2;Y;;null;120102;;10A7;1330
2;3;69;2;Y;;null;130102;;2F13;546
4;2;212;2;Y;;null;120101;;405A;1005
2;4;14;2;Y;;null;130106;;2F6F;634
9;4;3;2;Y;;null;150101;;601D;1499
1;7;9;2;Y;;null;110304;;230A;462
1;5;118;2;Y;;null;110101;;2FD4;219
4;2;204;2;Y;;null;120101;;101E;1011
2;4;31;2;Y;;null;130106;;2F68;605
2;6;23;2;Y;;null;130301;;34A2;764
1;5;59;2;Y;;null;110101;;3061;398
1;5;110;2;Y;;null;110101;;307F;224
4;2;31;2;Y;;null;120101;;4089;1099
1;2;75;2;Y;;null;110200;;303C;53
5;9;15;2;Y;;null;180209;;8011;1396
2;3;16;2;Y;;null;130102;;2F54;543
9;4;78;2;Y;;null;150101;;6012;1574
