#per_code;category_pri
1023737865;1
1023737869;1
1023934479;2
1023934483;2
1023934480;2
1023934478;2
1023934469;2
1023934471;2
1023934474;2
1023934475;2
1023934476;2
1023737875;3
1023737872;4
1023737873;4
1023737874;4
1023803396;5
1023803393;5
1023803394;5
1024458756;6
1024458758;6
1024458760;6
1024458754;6
1023672325;7
1024524309;7
1024458759;8
1024393219;9
1024393220;9
1024393222;9
1024393223;9
1024393224;9
1024393225;9
1024393221;9
1024393217;9
1024393218;9
1024458761;12
1024458762;12
1023934477;13
1023737861;11
1023737862;11
1023737863;11
1023737864;11
1023737866;11
1023737867;11
1023737868;11
1023737870;11
1023737871;11
1023737876;11
1023737877;11
1023737878;11
1023737879;11
1023737880;11
1023803395;11
1023868929;11
1023868930;11
1023934465;11
1023934466;11
1023934467;11
1023934468;11
1023934470;11
1023934472;11
1023934473;11
1023934481;11
1023934482;11
1024000001;11
1024000002;11
1024000003;11
1024000004;11
1024065537;11
1024065538;11
1024065539;11
1024065540;11
1024065541;11
1024065542;11
1024131073;11
1024131074;11
1024131075;11
1024131076;11
1024131077;11
1024131078;11
1024131079;11
1024131080;11
1024131081;11
1024131082;11
1024131083;11
1024131084;11
1024131085;11
1024131086;11
1024196609;11
1024196610;11
1024196611;11
1024196612;11
1024196613;11
1024196614;11
1024196615;11
1024262145;11
1024262146;11
1024262147;11
1024262148;11
1024262149;11
1024262150;11
1024262151;11
1024262152;11
1024262153;11
1024262154;11
1024262155;11
1024262156;11
1024262157;11
1024262158;11
1024262159;11
1024262160;11
1024262161;11
1024262162;11
1024262163;11
1024262164;11
1024262165;11
1024262166;11
1024262167;11
1024262168;11
1024262169;11
1024327681;11
1024327682;11
1024327683;11
1024458753;11
1024458755;11
1024458757;11
1024524289;11
1024524290;11
1024524291;11
1024524292;11
1024524293;11
1024524294;11
1024524295;11
1024524296;11
1024524297;11
1024524298;11
1024524299;11
1024524300;11
1024524301;11
1024524302;11
1024524303;11
1024524304;11
1024524305;11
1024524306;11
1024524307;11
1024524308;11
1024524310;11
1024524311;11
1024524312;11
1024524313;11
1024524314;11
1024524315;11
1024524316;11
1024524317;11
1023410176;11
1024524318;11
1023475712;11
1023541248;11
1023606784;11
1023672320;11
1023737856;11
1023803392;11
1023868928;11
1023934464;11
1024000000;11
1024065536;11
1024131072;11
1024196608;11
1024262144;11
1024327680;11
1024393216;11
1024458752;11
1024524288;11
1023475713;11
1023475714;11
1023541249;11
1023541250;11
1023541251;11
1023541252;11
1023606785;11
1023672321;11
1023672322;11
1023672323;11
1023672324;11
1023672326;11
1023672327;11
1023672328;11
1023672329;11
1023737857;11
1023737858;11
1023737859;11
1023737860;11
