#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three;lang;file_name
1;N;1;0;0;0;Restaurant;null;0;0;0;0;0;0;ENG;
2;N;1;1;0;1;All Restaurant;null;0;0;0;0;0;0;ENG;
3;N;1;2;0;1;Chinese Food;null;5800;0;0;3;0;0;ENG;
4;N;1;3;0;1;French Food;null;5800;0;0;5;0;0;ENG;
5;N;1;4;0;1;Indian Food;null;5800;0;0;8;0;0;ENG;
6;N;1;5;0;1;Italian Food;null;5800;0;0;9;0;0;ENG;
7;N;1;6;0;1;Japanese Food;null;5800;0;0;10;0;0;ENG;
8;N;1;7;0;1;Seafood;null;5800;0;0;13;0;0;ENG;
9;N;1;8;0;1;Thai Food;null;5800;0;0;14;0;0;ENG;
10;N;1;9;0;1;Vietnamese Food;null;5800;0;0;16;0;0;ENG;
11;N;1;10;0;1;Barbecue/Southern;null;5800;0;0;19;0;0;ENG;
12;N;1;11;0;1;Fast Food;null;0;0;0;0;0;0;ENG;
13;N;1;11;1;2;All Fast Food;0;0;0;0;0;0;0;ENG;
14;Y;1;11;2;2;KFC;null;5800;0;1559;27;0;0;ENG;
15;Y;1;11;3;2;McDonald's;null;5800;0;1566;27;0;0;ENG;
16;Y;1;11;4;2;Yoshinoya;null;5800;0;3393;27;0;0;ENG;
17;Y;1;11;5;2;AJISEN RAMEN;null;5800;0;6341;27;0;0;ENG;
18;Y;1;11;6;2;Café de Coral;null;5800;0;6792;27;0;0;ENG;
19;Y;1;11;7;2;Tsui Wah Restaurant;null;5800;0;8074;27;0;0;ENG;
20;Y;1;11;8;2;Maxim's MX;null;5800;0;9612;27;0;0;ENG;
21;Y;1;11;9;2;Yum!;null;5800;0;10082;27;0;0;ENG;
22;Y;1;11;10;2;Fairwood;null;5800;0;23144;27;0;0;ENG;
23;Y;1;11;11;2;TAI HING;null;5800;0;23147;27;0;0;ENG;
24;N;1;11;12;2;Other Fast Food;null;5800;0;0;27;0;0;ENG;
25;N;1;12;0;1;Korean Food;null;5800;0;0;33;0;0;ENG;
26;N;1;13;0;1;Sandwich;null;5800;0;0;41;0;0;ENG;
27;N;1;14;0;1;Southeast Asian Food;null;5800;0;0;44;0;0;ENG;
28;N;1;15;0;1;International Food;null;5800;0;0;53;0;0;ENG;
29;N;1;16;0;1;Pizza;null;5800;0;0;58;0;0;ENG;
