2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,470 - WARNING: spotguide_tbl----inlink = 957482652,outlink = 957482654 pathlink is null
2016-01-21 10:46:01,470 - WARNING: spotguide_tbl----inlink = 983218294,outlink = 778302906 pathlink is null
2016-01-21 10:46:01,470 - WARNING: spotguide_tbl----inlink = 1074688067,outlink = 779035275 pathlink is null
2016-01-21 10:46:01,470 - WARNING: spotguide_tbl----inlink = 816914951,outlink = 777608991 pathlink is null
2016-01-21 10:46:01,470 - WARNING: spotguide_tbl----inlink = 861700237,outlink = 855788392 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 752092267,outlink = 752232949 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 983426640,outlink = 1081570032 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 936928131,outlink = 821537516 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 781516289,outlink = 783975437 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 777691425,outlink = 776956770 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 932927686,outlink = 932927685 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 809129299,outlink = 809129298 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 809379075,outlink = 848913637 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 921235748,outlink = 872180691 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 781964987,outlink = 781878865 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 735223930,outlink = 735223939 pathlink is null
2016-01-21 10:46:01,486 - WARNING: spotguide_tbl----inlink = 785473918,outlink = 841188754 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 753325529,outlink = 765935113 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 1048451732,outlink = 751999994 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 752002990,outlink = 752057175 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 907328778,outlink = 751867805 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 778550355,outlink = 778550357 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 820987048,outlink = 116146604 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 936928140,outlink = 726313822 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 833925969,outlink = 828071158 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 1069087395,outlink = 1068742734 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 811910248,outlink = 806984795 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 847056896,outlink = 847056899 pathlink is null
2016-01-21 10:46:01,502 - WARNING: spotguide_tbl----inlink = 867493367,outlink = 734855476 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 1102304190,outlink = 914501282 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 865773586,outlink = 866826476 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 116176809,outlink = 116164813 pathlink is null
