lonlat;field;value
'MULTILINESTRING((100.28318 5.46539,100.28324 5.46541))';one_way;1
'MULTILINESTRING((100.3057 5.35286,100.3058 5.35294))';one_way;1
'MULTILINESTRING((100.2771 5.32224,100.27696 5.32219))';one_way;1
'MULTILINESTRING((100.32214 5.40357,100.32204 5.4036))';one_way;1
'MULTILINESTRING((100.30494 5.4626,100.3051 5.46256))';one_way;1
'MULTILINESTRING((100.48467 5.11664,100.48468 5.11644))';one_way;1
'MULTILINESTRING((116.09298 5.96847,116.09305 5.96858,116.09324 5.96884,116.09395 5.96987,116.09414 5.97021,116.0942 5.97032,116.09427 5.97044))';one_way;1
'MULTILINESTRING((115.24588 5.28167,115.24579 5.28166,115.24552 5.28184))';one_way;1
'MULTILINESTRING((115.24552 5.28184,115.24407 5.28264,115.24247 5.28354))';one_way;1
'MULTILINESTRING((115.24247 5.28354,115.2409 5.28447,115.23828 5.286))';one_way;1
'MULTILINESTRING((115.23828 5.286,115.23759 5.28639,115.23726 5.28656,115.23699 5.28666,115.23674 5.28674,115.23638 5.2868,115.23611 5.28681,115.23572 5.28679,115.23536 5.28671,115.23503 5.28659,115.23471 5.28643,115.23448 5.28627,115.23429 5.28612,115.23413 5.28595,115.234 5.28581))';one_way;1
'MULTILINESTRING((115.234 5.28581,115.23381 5.28554,115.23368 5.2853,115.23359 5.28507,115.23354 5.28491,115.23348 5.28474,115.23345 5.2846,115.23342 5.28433,115.23339 5.28392))';one_way;1
'MULTILINESTRING((115.23339 5.28392,115.2334 5.28349))';one_way;1
'MULTILINESTRING((115.2334 5.28349,115.23342 5.283))';one_way;1
'MULTILINESTRING((115.23342 5.283,115.23342 5.28266))';one_way;1
'MULTILINESTRING((115.23342 5.28266,115.23343 5.28114,115.23345 5.28,115.23349 5.27887))';one_way;1
'MULTILINESTRING((115.23349 5.27887,115.23352 5.27788,115.23356 5.27638,115.23356 5.27606))';one_way;1
'MULTILINESTRING((115.23356 5.27606,115.23358 5.2753,115.2336 5.27487))';one_way;1
'MULTILINESTRING((115.2336 5.27487,115.23368 5.27439,115.23372 5.27406))';one_way;1
