lonlat;field;value
'MULTILINESTRING((110.37461 1.52687,110.3745 1.52672,110.37435 1.52659,110.37404 1.52636))';one_way;1
'MULTILINESTRING((110.37404 1.52636,110.37394 1.52629))';one_way;1
'MULTILINESTRING((110.40352 1.56329,110.40388 1.56277))';one_way;1
'MULTILINESTRING((110.40388 1.56277,110.40425 1.56222))';one_way;1
'MULTILINESTRING((110.40425 1.56222,110.40451 1.56189))';one_way;1
'MULTILINESTRING((110.40331 1.56353,110.40352 1.56329))';one_way;1
'MULTILINESTRING((110.40356 1.56295,110.40337 1.56323))';one_way;1
'MULTILINESTRING((110.40337 1.56323,110.40331 1.56353))';one_way;1
'MULTILINESTRING((111.3674 2.17633,111.36738 2.17469,111.36734 2.17427,111.36729 2.174,111.36721 2.17381,111.36705 2.17356,111.36682 2.17334,111.36655 2.17319,111.36616 2.17302,111.36444 2.17239,111.36064 2.17096,111.35715 2.16965,111.35324 2.16819,111.34963 2.16683,111.34692 2.16581,111.34655 2.16567,111.34617 2.16555,111.34579 2.16545,111.34549 2.16538))';one_way;1
'MULTILINESTRING((111.34549 2.16538,111.35101 2.1675,111.35631 2.16948,111.3623 2.17173,111.3659 2.17309,111.36651 2.17333,111.36677 2.17347,111.36688 2.17357,111.36699 2.17368,111.36711 2.17386,111.3672 2.17411,111.36724 2.17427,111.36726 2.17443,111.36727 2.17478,111.3673 2.17617,111.3674 2.17633))';one_way;1
'MULTILINESTRING((111.8611 2.26573,111.86116 2.26584))';one_way;1
'MULTILINESTRING((111.82555 2.2922,111.82548 2.2923,111.82548 2.29238,111.82553 2.2925,111.82574 2.29286))';one_way;1
'MULTILINESTRING((111.82574 2.29286,111.82617 2.29361,111.82627 2.29368,111.82637 2.29369,111.82659 2.29359,111.82691 2.29339,111.82711 2.29329))';one_way;1
'MULTILINESTRING((111.82711 2.29329,111.82833 2.29263))';one_way;1
'MULTILINESTRING((111.82667 2.29162,111.82656 2.29166,111.82643 2.29165,111.8263 2.29155))';one_way;1
'MULTILINESTRING((113.04158 3.17042,113.04059 3.17094,113.0402 3.17115))';one_way;1
'MULTILINESTRING((113.0402 3.17115,113.03992 3.17137,113.03977 3.17141,113.03963 3.1715,113.03948 3.1716,113.03939 3.17167))';one_way;1
'MULTILINESTRING((113.03939 3.17167,113.03932 3.17173,113.03916 3.17189,113.03887 3.17228,113.03871 3.17251,113.03858 3.17277,113.03843 3.17308))';one_way;1
'MULTILINESTRING((113.03843 3.17308,113.03755 3.17508,113.03743 3.17528,113.03731 3.17545,113.03717 3.1756,113.03704 3.17572,113.03688 3.17584,113.03659 3.17609,113.03649 3.17626,113.03641 3.17644,113.03639 3.17671,113.03643 3.1769,113.0365 3.17711,113.03667 3.17745,113.03678 3.17764))';one_way;1
'MULTILINESTRING((111.82763 2.29139,111.82777 2.29163))';one_way;1
'MULTILINESTRING((111.82777 2.29163,111.82781 2.29172))';one_way;1
'MULTILINESTRING((111.82781 2.29172,111.82833 2.29263))';one_way;1
'MULTILINESTRING((111.82833 2.29263,111.82839 2.29274))';one_way;1
'MULTILINESTRING((111.82839 2.29274,111.82908 2.29446))';one_way;1
'MULTILINESTRING((111.82908 2.29446,111.8292 2.29474))';one_way;1
'MULTILINESTRING((111.8292 2.29474,111.82979 2.29619))';one_way;1
'MULTILINESTRING((111.82979 2.29619,111.83029 2.29748))';one_way;1
'MULTILINESTRING((111.83029 2.29748,111.83084 2.29891))';one_way;1
'MULTILINESTRING((111.83084 2.29891,111.83124 2.29999))';one_way;1
'MULTILINESTRING((111.83124 2.29999,111.83145 2.30051))';one_way;1
'MULTILINESTRING((111.83145 2.30051,111.83161 2.30097))';one_way;1
'MULTILINESTRING((111.83161 2.30097,111.8321 2.30224))';one_way;1
'MULTILINESTRING((111.8321 2.30224,111.83248 2.30313))';one_way;1
'MULTILINESTRING((111.83248 2.30313,111.83261 2.30349))';one_way;1
'MULTILINESTRING((111.83261 2.30349,111.83277 2.30394))';one_way;1
'MULTILINESTRING((111.83277 2.30394,111.83281 2.30408))';one_way;1
'MULTILINESTRING((111.83281 2.30408,111.83293 2.30449))';one_way;1
'MULTILINESTRING((111.83293 2.30449,111.83299 2.30463))';one_way;1
'MULTILINESTRING((111.83299 2.30463,111.83326 2.30534))';one_way;1
'MULTILINESTRING((111.83326 2.30534,111.83341 2.30573))';one_way;1
'MULTILINESTRING((111.83341 2.30573,111.83359 2.3062))';one_way;1
'MULTILINESTRING((111.83359 2.3062,111.83386 2.30693))';one_way;1
'MULTILINESTRING((111.83386 2.30693,111.83416 2.30765))';one_way;1
'MULTILINESTRING((111.83416 2.30765,111.83437 2.3082))';one_way;1
'MULTILINESTRING((111.83437 2.3082,111.83465 2.30893))';one_way;1
'MULTILINESTRING((111.83465 2.30893,111.83492 2.3096))';one_way;1
'MULTILINESTRING((111.83492 2.3096,111.83518 2.31024,111.83548 2.31108,111.83558 2.31137))';one_way;1
'MULTILINESTRING((111.83558 2.31137,111.83574 2.31186))';one_way;1
'MULTILINESTRING((113.07592 3.23776,113.07501 3.23721,113.07365 3.23635,113.07279 3.23584))';one_way;1
'MULTILINESTRING((113.07279 3.23584,113.07188 3.23532))';one_way;1
'MULTILINESTRING((113.07188 3.23532,113.07109 3.23495,113.07028 3.23443,113.06954 3.23392,113.06929 3.23374,113.06919 3.23364,113.06909 3.23357,113.06848 3.23288))';one_way;1
'MULTILINESTRING((113.06848 3.23288,113.06837 3.23277))';one_way;1
'MULTILINESTRING((113.06837 3.23277,113.066 3.23012))';one_way;1
'MULTILINESTRING((113.066 3.23012,113.06375 3.2276))';one_way;1
'MULTILINESTRING((111.82667 2.29162,111.82659 2.2917,111.82637 2.29182,111.82555 2.2922))';one_way;1
'MULTILINESTRING((111.82555 2.2922,111.82508 2.2924))';one_way;1
'MULTILINESTRING((111.82508 2.2924,111.82437 2.29272))';one_way;1
'MULTILINESTRING((111.82437 2.29272,111.82422 2.29279))';one_way;1
'MULTILINESTRING((111.8263 2.29155,111.8263 2.29169))';one_way;1
'MULTILINESTRING((111.8263 2.29169,111.82624 2.2918,111.82534 2.29221))';one_way;1
'MULTILINESTRING((111.82534 2.29221,111.82463 2.29252))';one_way;1
'MULTILINESTRING((111.82463 2.29252,111.82434 2.29264,111.82427 2.2927,111.82422 2.29279))';one_way;1
'MULTILINESTRING((113.05442 3.16937,113.05467 3.16919))';one_way;1
'MULTILINESTRING((113.05467 3.16919,113.05482 3.16908,113.05532 3.16881))';one_way;1
'MULTILINESTRING((113.0543 3.16924,113.05455 3.16912))';one_way;1
'MULTILINESTRING((113.05455 3.16912,113.05478 3.16904,113.05532 3.16881))';one_way;1
'MULTILINESTRING((111.82463 2.29252,111.8245 2.29252,111.8244 2.29249,111.82425 2.29244))';one_way;1
'MULTILINESTRING((111.82508 2.2924,111.82521 2.29238,111.82529 2.29239,111.82537 2.29243,111.82611 2.29366,111.82615 2.29371,111.82625 2.29374,111.82637 2.29375,111.82651 2.2937,111.82688 2.29353))';one_way;1
'MULTILINESTRING((111.82688 2.29353,111.82759 2.29313))';one_way;1
'MULTILINESTRING((111.82759 2.29313,111.82822 2.29277,111.82833 2.29274,111.82839 2.29274))';one_way;1
'MULTILINESTRING((111.82772 2.29116,111.82772 2.29124,111.82775 2.29132,111.82791 2.29159))';one_way;1
'MULTILINESTRING((111.82791 2.29159,111.8282 2.29211))';one_way;1
'MULTILINESTRING((111.8282 2.29211,111.82843 2.29255,111.82859 2.29287))';one_way;1
'MULTILINESTRING((111.82859 2.29287,111.82878 2.29337,111.82897 2.29387))';one_way;1
'MULTILINESTRING((111.82897 2.29387,111.82907 2.29413,111.82917 2.29441,111.82946 2.29513,111.82955 2.29538))';one_way;1
'MULTILINESTRING((111.82955 2.29538,111.82958 2.29546))';one_way;1
'MULTILINESTRING((111.82958 2.29546,111.82965 2.2956))';one_way;1
'MULTILINESTRING((111.82965 2.2956,111.82991 2.29627))';one_way;1
'MULTILINESTRING((111.82991 2.29627,111.83036 2.29747))';one_way;1
'MULTILINESTRING((111.83036 2.29747,111.83052 2.29785))';one_way;1
'MULTILINESTRING((111.83052 2.29785,111.83084 2.2987))';one_way;1
'MULTILINESTRING((111.83084 2.2987,111.83142 2.30021))';one_way;1
'MULTILINESTRING((111.83142 2.30021,111.83168 2.30084))';one_way;1
'MULTILINESTRING((111.83168 2.30084,111.83187 2.30135))';one_way;1
'MULTILINESTRING((111.83187 2.30135,111.83193 2.30147))';one_way;1
'MULTILINESTRING((111.83193 2.30147,111.83209 2.30189))';one_way;1
'MULTILINESTRING((111.83209 2.30189,111.83227 2.30234))';one_way;1
'MULTILINESTRING((111.83227 2.30234,111.83287 2.3039))';one_way;1
'MULTILINESTRING((111.83287 2.3039,111.83293 2.30404))';one_way;1
'MULTILINESTRING((111.83293 2.30404,111.83312 2.30463))';one_way;1
'MULTILINESTRING((111.83312 2.30463,111.83377 2.30622,111.83386 2.30647))';one_way;1
'MULTILINESTRING((111.83386 2.30647,111.83427 2.30762))';one_way;1
'MULTILINESTRING((111.83427 2.30762,111.83442 2.30794))';one_way;1
'MULTILINESTRING((111.83442 2.30794,111.83478 2.30889,111.83528 2.3102,111.83562 2.31104))';one_way;1
'MULTILINESTRING((111.83562 2.31104,111.83573 2.31136))';one_way;1
'MULTILINESTRING((111.83573 2.31136,111.83589 2.31179))';one_way;1
'MULTILINESTRING((111.86116 2.26584,111.8613 2.26578))';one_way;1
'MULTILINESTRING((111.86123 2.26567,111.8611 2.26573))';one_way;1
'MULTILINESTRING((111.8613 2.26578,111.86123 2.26567))';one_way;1
'MULTILINESTRING((111.83574 2.31186,111.8358 2.31204))';one_way;1
'MULTILINESTRING((111.8358 2.31204,111.83603 2.31256))';one_way;1
'MULTILINESTRING((111.83603 2.31256,111.83699 2.31481,111.83732 2.31567))';one_way;1
'MULTILINESTRING((111.83732 2.31567,111.83785 2.31705))';one_way;1
'MULTILINESTRING((111.83785 2.31705,111.83891 2.31982))';one_way;1
'MULTILINESTRING((111.83891 2.31982,111.83905 2.32025))';one_way;1
'MULTILINESTRING((111.83905 2.32025,111.83911 2.32042))';one_way;1
'MULTILINESTRING((111.83558 2.31137,111.83559 2.31155,111.83556 2.3117,111.83547 2.31181,111.83531 2.31195))';one_way;1
'MULTILINESTRING((111.83261 2.30349,111.83261 2.30365,111.83255 2.30385,111.83234 2.30402,111.83209 2.30421))';one_way;1
'MULTILINESTRING((100.47592 5.51979,100.47593 5.51969))';name;'Jalan Seksyen 2 Putra Bertam'
'MULTILINESTRING((100.47593 5.51969,100.47599 5.51887))';name;'Jalan Seksyen 2 Putra Bertam'
'MULTILINESTRING((100.47599 5.51887,100.47602 5.51864,100.47605 5.51846,100.47615 5.51828,100.47623 5.51815,100.47638 5.51804,100.4766 5.51796,100.47676 5.51794,100.47914 5.51812))';name;'Jalan Seksyen 2 Putra Bertam'
'MULTILINESTRING((100.47914 5.51812,100.48294 5.5184,100.4831 5.51844,100.48317 5.51848))';name;'Jalan Seksyen 2 Putra Bertam'
'MULTILINESTRING((101.68917 2.92092,101.6892 2.92078))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.6892 2.92078,101.68921 2.92026,101.6892 2.91985))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.6892 2.91985,101.6892 2.9195,101.68917 2.91906,101.68907 2.91842))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68907 2.91842,101.68902 2.91811))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68902 2.91811,101.68891 2.91758,101.68878 2.91711,101.68864 2.91669,101.68848 2.91626,101.68825 2.91574,101.68803 2.9153))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68803 2.9153,101.68777 2.91482,101.6875 2.91438,101.68737 2.91417))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68737 2.91417,101.68733 2.9141))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68733 2.9141,101.68724 2.91396,101.68688 2.91352))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68688 2.91352,101.68638 2.91297,101.68592 2.91248))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68592 2.91248,101.68584 2.91237))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68584 2.91237,101.68555 2.91201))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68555 2.91201,101.68523 2.91154,101.68494 2.91108,101.6847 2.91063))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.6847 2.91063,101.68435 2.90992,101.6841 2.90932,101.68386 2.90858,101.68375 2.90821))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68375 2.90821,101.68362 2.90778,101.68338 2.90712,101.6833 2.90693))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.6833 2.90693,101.68322 2.90676))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.68322 2.90676,101.68318 2.90668,101.6828 2.906,101.68247 2.90554,101.68216 2.90515,101.6819 2.90486,101.6819 2.90474))';name;'Jalan Tun Hussein'
'MULTILINESTRING((101.91191 2.70895,101.9116 2.70817,101.91146 2.70775,101.91136 2.7072,101.91135 2.70671,101.91133 2.70543))';name;'S2 North South'
'MULTILINESTRING((101.91133 2.70543,101.9113 2.70465))';name;'S2 North South'
'MULTILINESTRING((101.9113 2.70465,101.91123 2.70416,101.91108 2.70292,101.91098 2.70206,101.91098 2.70129))';name;'S2 North South'
'MULTILINESTRING((101.91098 2.70129,101.91101 2.70026,101.9111 2.69958))';name;'S2 North South'
'MULTILINESTRING((101.9111 2.69958,101.91118 2.69915,101.91144 2.6983,101.91164 2.6977,101.91196 2.69702,101.9125 2.6961,101.91275 2.69572))';name;'S2 North South'
'MULTILINESTRING((101.91275 2.69572,101.91379 2.69414,101.91416 2.69358,101.91439 2.69312))';name;'S2 North South'
'MULTILINESTRING((101.91439 2.69312,101.91447 2.69272,101.91448 2.69253))';name;'S2 North South'
'MULTILINESTRING((101.91448 2.69253,101.9145 2.69184))';name;'S2 North South'
'MULTILINESTRING((101.9145 2.69184,101.9145 2.69173,101.91448 2.69118,101.91437 2.69091,101.91401 2.6905,101.91356 2.69001))';name;'S2 North South'
'MULTILINESTRING((101.91356 2.69001,101.91304 2.68952,101.91262 2.68898,101.91247 2.68876))';name;'S2 North South'
'MULTILINESTRING((101.91247 2.68876,101.91207 2.68794,101.91197 2.68764))';name;'S2 North South'
'MULTILINESTRING((101.91197 2.68764,101.91168 2.68677,101.91127 2.68507))';name;'S2 North South'
'MULTILINESTRING((101.91127 2.68507,101.9111 2.6844))';name;'S2 North South'
'MULTILINESTRING((101.9111 2.6844,101.91094 2.68369))';name;'S2 North South'
'MULTILINESTRING((101.91094 2.68369,101.91047 2.68171))';name;'S2 North South'
'MULTILINESTRING((101.91047 2.68171,101.91009 2.68023))';name;'S2 North South'
'MULTILINESTRING((101.91009 2.68023,101.90988 2.67944))';name;'S2 North South'
'MULTILINESTRING((101.91259 2.70284,101.91252 2.70145,101.91252 2.70063,101.91259 2.70011,101.91268 2.69971,101.91283 2.6994))';name;'Persiaran S2 B1'
'MULTILINESTRING((101.91283 2.6994,101.91345 2.69819))';name;'Persiaran S2 B1'
'MULTILINESTRING((101.91345 2.69819,101.91349 2.69809))';name;'Persiaran S2 B1'
'MULTILINESTRING((101.91349 2.69809,101.91384 2.69742,101.91392 2.69703,101.91391 2.69667,101.9139 2.69633,101.91391 2.696,101.91394 2.69572,101.91407 2.69536,101.91431 2.69481,101.91453 2.6945,101.91481 2.69423,101.91507 2.69406,101.91516 2.69402))';name;'Persiaran S2 B1'
'MULTILINESTRING((101.91516 2.69402,101.91542 2.69395,101.91571 2.69391,101.91629 2.69405,101.91664 2.69412,101.91793 2.69408))';name;'Persiaran S2 B1'
'MULTILINESTRING((100.30781 5.46085,100.30774 5.46094))';name;'{O6|Jalan Tanjung Tokong'
'MULTILINESTRING((100.30532 5.44489,100.30527 5.445))';name;'{O6|Jalan Tanjung Tokong'
'MULTILINESTRING((100.30537 5.44761,100.30536 5.44743))';name;'{O6|Jalan Tanjung Tokong'
'MULTILINESTRING((100.30093 5.46398,100.30108 5.46392))';name;'{O6|Jalan Tanjong Bungah|Tanjung Bunga Road'
'MULTILINESTRING((100.28559 5.46577,100.28549 5.46571))';name;'{O6|Jalan Tanjong Bungah'
'MULTILINESTRING((100.29174 5.46571,100.29187 5.46568))';name;'{O6|Jalan Tanjong Bungah'
'MULTILINESTRING((100.28663 5.46624,100.28678 5.46629))';name;'{O6|Jalan Tanjong Bungah'
'MULTILINESTRING((100.27922 5.3046,100.27919 5.30451))';name;'bypass U-turn Lane'
'MULTILINESTRING((100.30353 5.39612,100.30349 5.39594))';name;'Jalan Masjid Negeri (Green Lane)'
'MULTILINESTRING((100.30535 5.38555,100.30542 5.3854))';name;'Jalan Masjid Negeri (Green Lane)'
'MULTILINESTRING((100.30186 5.40765,100.30194 5.40768))';name;'Jalan Air Itam'
'MULTILINESTRING((100.30218 5.41313,100.30217 5.41329))';name;'Jalan Scotland'
'MULTILINESTRING((100.3058 5.41952,100.30577 5.41946))';name;'Jalan Sepoy Lines'
'MULTILINESTRING((100.28931 5.32008,100.28927 5.31994))';name;'Pulau Pinang@PEN'
'MULTILINESTRING((100.30527 5.41906,100.30522 5.41909))';name;'Jalan Utama (Western Rd)'
